value;date;access_date
126;янв.93;02.03.2001
125;февр.93;02.03.2001
120;март.93;02.03.2001
119;апр.93;02.03.2001
118;май.93;02.03.2001
120;июнь.93;02.03.2001
122;июль.93;02.03.2001
126;авг.93;02.03.2001
123;сент.93;02.03.2001
120;окт.93;02.03.2001
116;нояб.93;02.03.2001
113;дек.93;02.03.2001
118;янв.94;02.03.2001
111;февр.94;02.03.2001
107;март.94;02.03.2001
108;апр.94;02.03.2001
107;май.94;02.03.2001
106;июнь.94;02.03.2001
105;июль.94;02.03.2001
105;авг.94;02.03.2001
108;сент.94;02.03.2001
115;окт.94;02.03.2001
115;нояб.94;02.03.2001
116;дек.94;02.03.2001
118;янв.95;02.03.2001
111;февр.95;02.03.2001
109;март.95;02.03.2001
108,5;апр.95;02.03.2001
107,9;май.95;02.03.2001
106,7;июнь.95;02.03.2001
105,4;июль.95;02.03.2001
104,6;авг.95;02.03.2001
104,5;сент.95;02.03.2001
104,7;окт.95;02.03.2001
104,6;нояб.95;02.03.2001
103,2;дек.95;02.03.2001
104,1;янв.96;02.03.2001
102,8;февр.96;02.03.2001
102,8;март.96;02.03.2001
102,2;апр.96;02.03.2001
101,6;май.96;02.03.2001
101,2;июнь.96;02.03.2001
100,7;июль.96;02.03.2001
99,8;авг.96;02.03.2001
100,3;сент.96;02.03.2001
101,2;окт.96;02.03.2001
101,9;нояб.96;02.03.2001
101,4;дек.96;02.03.2001
102,3;янв.97;02.03.2001
101,5;февр.97;02.03.2001
101,4;март.97;02.03.2001
101;апр.97;02.03.2001
100,9;май.97;02.03.2001
101,1;июнь.97;02.03.2001
100,9;июль.97;02.03.2001
99,9;авг.97;02.03.2001
99,7;сент.97;02.03.2001
100,2;окт.97;02.03.2001
100,6;нояб.97;02.03.2001
101;дек.97;02.03.2001
101,5;янв.98;02.03.2001
100,9;февр.98;02.03.2001
100,6;март.98;02.03.2001
100,4;апр.98;02.03.2001
100,5;май.98;02.03.2001
100,1;июнь.98;02.03.2001
100,2;июль.98;02.03.2001
103,7;авг.98;02.03.2001
138,4;сент.98;02.03.2001
104,5;окт.98;02.03.2001
105,7;нояб.98;02.03.2001
111,6;дек.98;02.03.2001
108,4;янв.99;02.03.2001
104,1;февр.99;02.03.2001
102,8;март.99;02.03.2001
103;апр.99;02.03.2001
102,2;май.99;02.03.2001
