date,deflator_gdp,access_date
2012-01-01,110.518813123118,2019-05-15
2012-04-01,108.915846118138,2019-05-15
2012-07-01,108.647018144922,2019-05-15
2012-10-01,108.587796028441,2019-05-15
2013-01-01,106.514778418846,2019-05-15
2013-04-01,104.713177999441,2019-05-15
2013-07-01,105.749650506088,2019-05-15
2013-10-01,104.796431594299,2019-05-15
2014-01-01,105.703854845004,2019-05-15
2014-04-01,107.658629779239,2019-05-15
2014-07-01,107.972367082803,2019-05-15
2014-10-01,108.380072192734,2019-05-15
2015-01-01,108.618502999405,2019-05-15
2015-04-01,107.482812896331,2019-05-15
2015-07-01,108.388875509225,2019-05-15
2015-10-01,106.119798756068,2019-05-15
2016-01-01,103.086250865387,2019-05-15
2016-04-01,103.691700653398,2019-05-15
2016-07-01,102.111345562573,2019-05-15
2016-10-01,103.782513686159,2019-05-15
2017-01-01,107.349839367861,2019-05-15
2017-04-01,104.235538859731,2019-05-15
2017-07-01,104.107541034259,2019-05-15
2017-10-01,105.951034951142,2019-05-15
2018-01-01,106.7150280253,2019-05-15
2018-04-01,110.592030956519,2019-05-15
2018-07-01,111.571331775028,2019-05-15
2018-10-01,111.712198045084,2019-05-15
