date,cpi,access_date
1991 янв,106.2,2019-12-11
1991 фев,104.8,2019-12-11
1991 мар,106.3,2019-12-11
1991 апр,163.5,2019-12-11
1991 май,103,2019-12-11
1991 июн,101.2,2019-12-11
1991 июл,100.6,2019-12-11
1991 авг,100.5,2019-12-11
1991 сен,101.1,2019-12-11
1991 окт,103.5,2019-12-11
1991 ноя,108.9,2019-12-11
1991 дек,112.1,2019-12-11
1992 янв,345.3,2019-12-11
1992 фев,138,2019-12-11
1992 мар,129.9,2019-12-11
1992 апр,121.7,2019-12-11
1992 май,111.9,2019-12-11
1992 июн,119.1,2019-12-11
1992 июл,110.6,2019-12-11
1992 авг,108.6,2019-12-11
1992 сен,111.5,2019-12-11
1992 окт,122.9,2019-12-11
1992 ноя,126.1,2019-12-11
1992 дек,125.2,2019-12-11
1993 янв,125.8,2019-12-11
1993 фев,124.7,2019-12-11
1993 мар,120.1,2019-12-11
1993 апр,118.7,2019-12-11
1993 май,118.1,2019-12-11
1993 июн,119.9,2019-12-11
1993 июл,122.39,2019-12-11
1993 авг,126,2019-12-11
1993 сен,123,2019-12-11
1993 окт,119.5,2019-12-11
1993 ноя,116.39,2019-12-11
1993 дек,112.5,2019-12-11
1994 янв,117.9,2019-12-11
1994 фев,110.82,2019-12-11
1994 мар,107.41,2019-12-11
1994 апр,108.49,2019-12-11
1994 май,106.91,2019-12-11
1994 июн,106,2019-12-11
1994 июл,105.33,2019-12-11
1994 авг,104.62,2019-12-11
1994 сен,107.96,2019-12-11
1994 окт,115,2019-12-11
1994 ноя,114.61,2019-12-11
1994 дек,116.44,2019-12-11
1995 янв,117.77,2019-12-11
1995 фев,111.02,2019-12-11
1995 мар,108.94,2019-12-11
1995 апр,108.47,2019-12-11
1995 май,107.93,2019-12-11
1995 июн,106.66,2019-12-11
1995 июл,105.38,2019-12-11
1995 авг,104.56,2019-12-11
1995 сен,104.46,2019-12-11
1995 окт,104.72,2019-12-11
1995 ноя,104.56,2019-12-11
1995 дек,103.2,2019-12-11
1996 янв,104.11,2019-12-11
1996 фев,102.79,2019-12-11
1996 мар,102.8,2019-12-11
1996 апр,102.16,2019-12-11
1996 май,101.6,2019-12-11
1996 июн,101.17,2019-12-11
1996 июл,100.72,2019-12-11
1996 авг,99.79,2019-12-11
1996 сен,100.33,2019-12-11
1996 окт,101.2,2019-12-11
1996 ноя,101.88,2019-12-11
1996 дек,101.42,2019-12-11
1997 янв,102.34,2019-12-11
1997 фев,101.54,2019-12-11
1997 мар,101.43,2019-12-11
1997 апр,100.96,2019-12-11
1997 май,100.94,2019-12-11
1997 июн,101.1,2019-12-11
1997 июл,100.93,2019-12-11
1997 авг,99.86,2019-12-11
1997 сен,99.7,2019-12-11
1997 окт,100.17,2019-12-11
1997 ноя,100.61,2019-12-11
1997 дек,100.96,2019-12-11
1998 янв,101.51,2019-12-11
1998 фев,100.89,2019-12-11
1998 мар,100.64,2019-12-11
1998 апр,100.38,2019-12-11
1998 май,100.5,2019-12-11
1998 июн,100.08,2019-12-11
1998 июл,100.17,2019-12-11
1998 авг,103.67,2019-12-11
1998 сен,138.43,2019-12-11
1998 окт,104.54,2019-12-11
1998 ноя,105.67,2019-12-11
1998 дек,111.61,2019-12-11
1999 янв,108.38,2019-12-11
1999 фев,104.13,2019-12-11
1999 мар,102.79,2019-12-11
1999 апр,103.03,2019-12-11
1999 май,102.22,2019-12-11
1999 июн,101.91,2019-12-11
1999 июл,102.82,2019-12-11
1999 авг,101.16,2019-12-11
1999 сен,101.48,2019-12-11
1999 окт,101.37,2019-12-11
1999 ноя,101.23,2019-12-11
1999 дек,101.26,2019-12-11
2000 янв,102.33,2019-12-11
2000 фев,101.04,2019-12-11
2000 мар,100.64,2019-12-11
2000 апр,100.89,2019-12-11
2000 май,101.75,2019-12-11
2000 июн,102.55,2019-12-11
2000 июл,101.79,2019-12-11
2000 авг,100.98,2019-12-11
2000 сен,101.32,2019-12-11
2000 окт,102.11,2019-12-11
2000 ноя,101.52,2019-12-11
2000 дек,101.64,2019-12-11
2001 янв,102.76,2019-12-11
2001 фев,102.28,2019-12-11
2001 мар,101.86,2019-12-11
2001 апр,101.79,2019-12-11
2001 май,101.78,2019-12-11
2001 июн,101.62,2019-12-11
2001 июл,100.45,2019-12-11
2001 авг,100.01,2019-12-11
2001 сен,100.6,2019-12-11
2001 окт,101.09,2019-12-11
2001 ноя,101.36,2019-12-11
2001 дек,101.6,2019-12-11
2002 янв,103.09,2019-12-11
2002 фев,101.16,2019-12-11
2002 мар,101.08,2019-12-11
2002 апр,101.16,2019-12-11
2002 май,101.69,2019-12-11
2002 июн,100.53,2019-12-11
2002 июл,100.72,2019-12-11
2002 авг,100.09,2019-12-11
2002 сен,100.4,2019-12-11
2002 окт,101.07,2019-12-11
2002 ноя,101.61,2019-12-11
2002 дек,101.54,2019-12-11
2003 янв,102.4,2019-12-11
2003 фев,101.63,2019-12-11
2003 мар,101.05,2019-12-11
2003 апр,101.02,2019-12-11
2003 май,100.8,2019-12-11
2003 июн,100.8,2019-12-11
2003 июл,100.71,2019-12-11
2003 авг,99.59,2019-12-11
2003 сен,100.34,2019-12-11
2003 окт,101,2019-12-11
2003 ноя,100.96,2019-12-11
2003 дек,101.1,2019-12-11
2004 янв,101.75,2019-12-11
2004 фев,100.99,2019-12-11
2004 мар,100.75,2019-12-11
2004 апр,100.99,2019-12-11
2004 май,100.74,2019-12-11
2004 июн,100.78,2019-12-11
2004 июл,100.92,2019-12-11
2004 авг,100.42,2019-12-11
