date,gdp_current_price,access_date
2011 Q1,13028.843803552925,2019-12-12
2011 Q2,14481.141999086214,2019-12-12
2011 Q3,15805.581666936876,2019-12-12
2011 Q4,16966.97303957744,2019-12-12
2012 Q1,15182.987212134834,2019-12-12
2012 Q2,16472.21550138366,2019-12-12
2012 Q3,17733.54478922485,2019-12-12
2012 Q4,18775.135614765357,2019-12-12
2013 Q1,16375.26128478894,2019-12-12
2013 Q2,17538.83871424573,2019-12-12
2013 Q3,19058.11403516661,2019-12-12
2013 Q4,20161.68105838519,2019-12-12
2014 Q1,17301.5863892146,2019-12-12
2014 Q2,19051.941822323395,2019-12-12
2014 Q3,20541.89453966865,2019-12-12
2014 Q4,22163.061278887788,2019-12-12
2015 Q1,18454.754819315833,2019-12-12
2015 Q2,19759.66715393962,2019-12-12
2015 Q3,21814.909995990703,2019-12-12
2015 Q4,23064.97264461401,2019-12-12
2016 Q1,18950.223511218188,2019-12-12
2016 Q2,20558.18491102161,2019-12-12
2016 Q3,22339.96031627466,2019-12-12
2016 Q4,24165.835561594668,2019-12-12
2017 Q1,20644.070950101464,2019-12-12
2017 Q2,21971.900597878604,2019-12-12
2017 Q3,23795.480868807957,2019-12-12
2017 Q4,25689.89540231876,2019-12-12
2018 Q1,22438.099304435735,2019-12-12
2018 Q2,24823.811251342497,2019-12-12
2018 Q3,27127.183236071844,2019-12-12
2018 Q4,29486.706591362017,2019-12-12
2019 Q1,24487.128796645648,2019-12-12
2019 Q2,26188.0077269514,2019-12-12
