url,file_raw,file_main,processing,univariate,frequency,comment,access_date,download_status,processing_status,hash_raw,hash_main
http://www.gks.ru/free_doc/new_site/prices/potr/I_ipc.xlsx,i_ipc.xlsx,i_ipc.csv,convert_i_ipc_xlsx,TRUE,12,Monthly chained CPI from Russian Statistical Agency,2020-02-07,success,success,9f4e3c70314ba8fc26a591c458963a2a,94292d801cec898867386f89089e6544
http://www.gks.ru/free_doc/new_site/vvp/kv/tab5a.xls,tab5a.xls,tab5a.csv,convert_tab5a_xls,TRUE,4,Gross domestic product quarterly current prices,2020-02-07,success,success,f02a180f672115a9d130966b316b4896,d484a25e30512ee67a1e7770a24766d5
http://www.gks.ru/free_doc/new_site/vvp/kv/tab9a.xls,tab9a.xls,tab9a.csv,convert_tab9a_xls,TRUE,4,Deflator index in percent to the previous quarter,2020-02-07,success,success,27a32502e9090606b7df800353a16a24,42fbaac6a6da7560b6423c731a2b83f8
http://www.gks.ru/free_doc/new_site/vvp/kv/tab9.xls,tab9.xls,tab9.csv,convert_tab9_xls,TRUE,4,Deflator index in percent to the previous quarter early data,2020-02-07,success,success,77b735f84e1b848187c18c36d45b2a7a,7acd37fc90072726f8165e185ff12fb7
http://www.gks.ru/free_doc/new_site/vvp/kv/tab6b.xls,tab6b.xls,tab6b.csv,convert_tab6b_xls,TRUE,4,Gross domestic product quarterly 2016 prices,2020-02-07,success,success,0d9dcac18eb51d50a975c290608e8233,9f69c2f8a86ad8a1b1bf3e80fd4db852
http://www.cbr.ru/hd_base/mkr/mkr_monthes/,lendrate.html,lendrate.csv,convert_lendrate,FALSE,12,Monthly lending rate multiple duration periods,2020-02-07,success,"Error in lendrate[[1]] : подгруппа выходит за пределы
",4ef47e93d69fdb52730e6f9b7d80fd44,
http://www.gks.ru/free_doc/new_site/population/urov/urov_12kv.doc,urov_12kv.doc,urov_12kv.csv,convert_urov_12kv_doc,FALSE,12,Real disposable income percentage to previous period and to same month of previous year,2020-02-07,success,success,8ffc6cc247d1106e64e3d6a3671d8c87,3d6ec7ded9c5404acb36ee995d1de2b5
http://www.gks.ru/bgd/regl/b18_02/IssWWW.exe/Stg/d010/1-08.doc,1-08.doc,1-08.csv,convert_1_nn_doc,TRUE,12,Agricultural index,2020-02-07,success,success,603bfcc199bffafbe0269afa0524449b,729a76f2fd2ae6a9112070f74fbdf45e
http://www.gks.ru/bgd/regl/b18_02/IssWWW.exe/Stg/d010/1-03.doc,1-03.doc,1-03.csv,convert_1_nn_doc,TRUE,12,Construction,2020-02-07,success,success,79f38760795ceb8ede4e0e69eca6c508,09bb6c313d4af586c5c004e3cc1b80b2
http://www.gks.ru/bgd/regl/b18_02/IssWWW.exe/Stg/d010/1-11.doc,1-11.doc,1-11.csv,convert_1_nn_doc,TRUE,12,Budget,2020-02-07,success,success,eed1162ebe3fa98840e42b8e7da35db5,62fc48242e46b82456f197e6719b380e
http://www.cbr.ru/vfs/statistics/credit_statistics/M2-M2_SA.xlsx,m2-m2_sa.xlsx,m2-m2_sa.csv,convert_m2_m2_sa_xlsx,TRUE,12,Seasonally adjusted M2,2020-02-07,success,success,f46f837acbcd8c50c2867a7bdda5a5c3,d1731051c2df6f9ebca9adc710fb2405
http://www.cbr.ru/hd_base/mrrf/mrrf_m/,reserves.html,reserves.csv,convert_reserves,FALSE,12,Reserves data from cbr,2020-02-07,success,"Error in nfa_cb[[1]] : подгруппа выходит за пределы
",584921cf71fa599275dd1c929b06f95c,
http://www.gks.ru/storage/mediabank/ind_okved2(1).xlsx,ind_okved2.xlsx,ind_okved2.csv,convert_ind_okved2_xlsx,FALSE,,Industrial production index,2020-02-07,success,success,c8d103cd2c21879fc139daef90761d33,bad1ecd4e05a3cc6b8997827d324ca1f
https://www.cbr.ru/vfs/statistics/credit_statistics/trade/trade.xls,trade.xls,trade.csv,convert_trade_xls,FALSE,12,Trade statistics,2020-02-07,success,"Error : The `gather` argument of `as_tsibble()` is deprecated as of tsibble 0.8.0.
Please use the `pivot_longer` argument instead.
",e7e2f0fd61c2ae0ff553b8d6d25d0f53,
http://www.gks.ru/bgd/regl/b19_02/IssWWW.exe/Stg/d010/1-06-0.xlsx,1-06-0.xlsx,invest.csv,convert_1_06_0_xlsx,TRUE,4,Fixed capital investment,2020-02-07,success,success,17c823a9d3a510563b68e635d078129c,0cc8a511efe461ee81fefa83986ec459
,,exchangerate.csv,parse_exchangerate,TRUE,,Exchange rate from cbr,2020-02-07,,success,,3242b7ff8fccad468983b7519f41da2a
