date,agriculture,access_date
10592,96.5,2020-06-29
10623,97.2,2020-06-29
10651,97.7,2020-06-29
10682,99.1,2020-06-29
10712,100.1,2020-06-29
10743,100.3,2020-06-29
10773,106.2,2020-06-29
10804,104.9,2020-06-29
10835,106,2020-06-29
10865,109.7,2020-06-29
10896,106.9,2020-06-29
10926,103,2020-06-29
10957,102.6,2020-06-29
10988,104.2,2020-06-29
11017,104.6,2020-06-29
11048,101.6,2020-06-29
11078,101.6,2020-06-29
11109,101.6,2020-06-29
11139,104.7,2020-06-29
11170,118.6,2020-06-29
11201,106.7,2020-06-29
11231,103.9,2020-06-29
11262,102.6,2020-06-29
11292,99.3,2020-06-29
11323,101.7,2020-06-29
11354,101.1,2020-06-29
11382,101.6,2020-06-29
11413,102.7,2020-06-29
11443,103.4,2020-06-29
11474,102.8,2020-06-29
11504,115.4,2020-06-29
11535,118.2,2020-06-29
11566,103.7,2020-06-29
11596,101.1,2020-06-29
11627,106.5,2020-06-29
11657,104.8,2020-06-29
11688,103.2,2020-06-29
11719,104.8,2020-06-29
11747,105.6,2020-06-29
11778,104.3,2020-06-29
11808,102.6,2020-06-29
11839,101.1,2020-06-29
11869,103.5,2020-06-29
11900,96.2,2020-06-29
11931,95,2020-06-29
11961,109.4,2020-06-29
11992,109.9,2020-06-29
12022,99.2,2020-06-29
12053,99.7,2020-06-29
12084,99.8,2020-06-29
12112,99,2020-06-29
12143,98.5,2020-06-29
12173,97.4,2020-06-29
12204,95.9,2020-06-29
12234,91.6,2020-06-29
12265,90,2020-06-29
12296,109,2020-06-29
12326,111.3,2020-06-29
12357,102.8,2020-06-29
12387,99,2020-06-29
12418,99,2020-06-29
12449,99,2020-06-29
12478,99,2020-06-29
12509,99.6,2020-06-29
12539,99.5,2020-06-29
12570,99.7,2020-06-29
12600,113.3,2020-06-29
12631,109.8,2020-06-29
12662,97.1,2020-06-29
12692,101.6,2020-06-29
12723,104.4,2020-06-29
12753,100.2,2020-06-29
12784,99.4,2020-06-29
12815,99.1,2020-06-29
12843,100,2020-06-29
12874,100.1,2020-06-29
12904,100.7,2020-06-29
12935,100.3,2020-06-29
12965,103.9,2020-06-29
12996,102.1,2020-06-29
13027,103.3,2020-06-29
13057,98.2,2020-06-29
13088,101.7,2020-06-29
13118,105.5,2020-06-29
13149,101.6,2020-06-29
13180,101.2,2020-06-29
13208,101.7,2020-06-29
13239,101.6,2020-06-29
13269,101.2,2020-06-29
13300,101,2020-06-29
13330,99.4,2020-06-29
13361,97.5,2020-06-29
13392,104.1,2020-06-29
13422,108.6,2020-06-29
13453,113.6,2020-06-29
13483,105.9,2020-06-29
13514,102.6,2020-06-29
13545,102.6,2020-06-29
13573,104.4,2020-06-29
13604,104.2,2020-06-29
13634,104.2,2020-06-29
13665,104.4,2020-06-29
13695,104.5,2020-06-29
13726,105.8,2020-06-29
13757,100.3,2020-06-29
13787,102.8,2020-06-29
13818,102.9,2020-06-29
13848,104,2020-06-29
13879,104.3,2020-06-29
13910,105.9,2020-06-29
13939,106,2020-06-29
13970,106.6,2020-06-29
14000,106.8,2020-06-29
14031,107.3,2020-06-29
14061,111.1,2020-06-29
14092,116.8,2020-06-29
14123,111.2,2020-06-29
14153,117.5,2020-06-29
14184,115.5,2020-06-29
14214,104.5,2020-06-29
14245,102.3,2020-06-29
14276,101.8,2020-06-29
14304,102.4,2020-06-29
14335,102,2020-06-29
14365,101.7,2020-06-29
14396,98.9,2020-06-29
14426,100.3,2020-06-29
14457,88.4,2020-06-29
14488,107.4,2020-06-29
14518,106.7,2020-06-29
14549,102.1,2020-06-29
14579,106.8,2020-06-29
14610,100.1,2020-06-29
14641,100.3,2020-06-29
14669,100.9,2020-06-29
14700,100.3,2020-06-29
14730,100.2,2020-06-29
14761,96,2020-06-29
14791,89.8,2020-06-29
14822,76.2,2020-06-29
14853,74.9,2020-06-29
14883,96.3,2020-06-29
14914,93,2020-06-29
14944,100.6,2020-06-29
14975,101.7,2020-06-29
15006,101.8,2020-06-29
15034,101.7,2020-06-29
15065,101.5,2020-06-29
15095,101.3,2020-06-29
15126,102,2020-06-29
15156,114.8,2020-06-29
15187,125.9,2020-06-29
15218,139.3,2020-06-29
15248,140.4,2020-06-29
15279,140.5,2020-06-29
15309,104.8,2020-06-29
15340,102.5,2020-06-29
15371,103.9,2020-06-29
15400,104.9,2020-06-29
15431,105,2020-06-29
15461,104.7,2020-06-29
15492,103.3,2020-06-29
15522,96.3,2020-06-29
15553,95.8,2020-06-29
15584,91.4,2020-06-29
15614,85.3,2020-06-29
15645,90.5,2020-06-29
15675,101.4,2020-06-29
15706,101.6,2020-06-29
15737,101.5,2020-06-29
15765,101.2,2020-06-29
15796,100.8,2020-06-29
15826,100.6,2020-06-29
15857,101.2,2020-06-29
15887,105.5,2020-06-29
15918,103.3,2020-06-29
15949,101.8,2020-06-29
15979,121.9,2020-06-29
16010,110.3,2020-06-29
16040,101.4,2020-06-29
16071,102.1,2020-06-29
16102,102.3,2020-06-29
16130,102.5,2020-06-29
16161,103.3,2020-06-29
16191,103.3,2020-06-29
16222,102.8,2020-06-29
16252,108.3,2020-06-29
16283,104.6,2020-06-29
16314,116.3,2020-06-29
16344,88.1,2020-06-29
16375,100.5,2020-06-29
16405,104,2020-06-29
16436,102.2,2020-06-29
16467,102.6,2020-06-29
16495,103.6,2020-06-29
16526,102.7,2020-06-29
16556,102.1,2020-06-29
16587,101,2020-06-29
16617,97.4,2020-06-29
16648,101.9,2020-06-29
16679,103.1,2020-06-29
16709,107,2020-06-29
16740,101.7,2020-06-29
16770,103,2020-06-29
16801,103.3,2020-06-29
16832,103.8,2020-06-29
16861,103.6,2020-06-29
16892,103.5,2020-06-29
16922,103.4,2020-06-29
16953,102.9,2020-06-29
16983,107.4,2020-06-29
17014,105.7,2020-06-29
17045,104.7,2020-06-29
17075,104.3,2020-06-29
17106,106.8,2020-06-29
17136,103.4,2020-06-29
17167,101.5,2020-06-29
17198,101.1,2020-06-29
17226,102.1,2020-06-29
17257,101.7,2020-06-29
17287,101.2,2020-06-29
17318,99.6,2020-06-29
17348,98.2,2020-06-29
17379,106.1,2020-06-29
17410,109.5,2020-06-29
17440,98.4,2020-06-29
17471,102.1,2020-06-29
17501,104.1,2020-06-29
17532,102.3,2020-06-29
17563,102.3,2020-06-29
17591,102.4,2020-06-29
17622,102.3,2020-06-29
17652,102.2,2020-06-29
17683,100.8,2020-06-29
17713,101.7,2020-06-29
17744,89.4,2020-06-29
17775,95.3,2020-06-29
17805,112.1,2020-06-29
17836,93.9,2020-06-29
17866,99.9,2020-06-29
