date,construction,access_date
10592,0.7,2020-06-29
10623,0.9,2020-06-29
10651,2.5,2020-06-29
10682,1,2020-06-29
10712,1.1,2020-06-29
10743,3.4,2020-06-29
10773,1.2,2020-06-29
10804,1.3,2020-06-29
10835,3.4,2020-06-29
10865,1.6,2020-06-29
10896,2.2,2020-06-29
10926,12.7,2020-06-29
10957,0.9,2020-06-29
10988,1.1,2020-06-29
11017,2.1,2020-06-29
11048,1.2,2020-06-29
11078,1.4,2020-06-29
11109,3.1,2020-06-29
11139,1.3,2020-06-29
11170,1.4,2020-06-29
11201,3.2,2020-06-29
11231,1.6,2020-06-29
11262,2,2020-06-29
11292,11,2020-06-29
11323,1,2020-06-29
11354,0.9,2020-06-29
11382,2.1,2020-06-29
11413,1.2,2020-06-29
11443,1.3,2020-06-29
11474,3.2,2020-06-29
11504,1.4,2020-06-29
11535,1.6,2020-06-29
11566,3.6,2020-06-29
11596,2.1,2020-06-29
11627,2.6,2020-06-29
11657,10.7,2020-06-29
11688,1.3,2020-06-29
11719,1.2,2020-06-29
11747,2.3,2020-06-29
11778,1.5,2020-06-29
11808,1.5,2020-06-29
11839,3.4,2020-06-29
11869,1.7,2020-06-29
11900,1.9,2020-06-29
11931,3.7,2020-06-29
11961,2.3,2020-06-29
11992,2.9,2020-06-29
12022,10.1,2020-06-29
12053,1.7,2020-06-29
12084,1.5,2020-06-29
12112,2.4,2020-06-29
12143,1.7,2020-06-29
12173,1.7,2020-06-29
12204,3.7,2020-06-29
12234,2,2020-06-29
12265,1.9,2020-06-29
12296,3.7,2020-06-29
12326,2.5,2020-06-29
12357,2.6,2020-06-29
12387,11,2020-06-29
12418,1.8,2020-06-29
12449,1.7,2020-06-29
12478,2.5,2020-06-29
12509,1.8,2020-06-29
12539,1.8,2020-06-29
12570,3.6,2020-06-29
12600,2.2,2020-06-29
12631,2.4,2020-06-29
12662,3.9,2020-06-29
12692,2.8,2020-06-29
12723,3.4,2020-06-29
12753,13.1,2020-06-29
12784,2.1,2020-06-29
12815,1.8,2020-06-29
12843,2.7,2020-06-29
12874,1.9,2020-06-29
12904,1.9,2020-06-29
12935,3.9,2020-06-29
12965,1.9,2020-06-29
12996,2.6,2020-06-29
13027,4.4,2020-06-29
13057,2.8,2020-06-29
13088,3.6,2020-06-29
13118,14,2020-06-29
13149,1.8,2020-06-29
13180,1.5,2020-06-29
13208,3,2020-06-29
13239,2.2,2020-06-29
13269,2.2,2020-06-29
13300,5,2020-06-29
13330,2.1,2020-06-29
