date,budget,access_date
10592,3.4,2020-06-29
10623,-3.8,2020-06-29
10651,-17.1,2020-06-29
10682,-21.5,2020-06-29
10712,-30.9,2020-06-29
10743,-38.2,2020-06-29
10773,-37.9,2020-06-29
10804,-36.2,2020-06-29
10835,-36.5,2020-06-29
10865,-29.7,2020-06-29
10896,-9.9,2020-06-29
10926,-44.4,2020-06-29
10957,19.1,2020-06-29
10988,32.6,2020-06-29
11017,36.3,2020-06-29
11048,65,2020-06-29
11078,108.2,2020-06-29
11109,126.9,2020-06-29
11139,150.5,2020-06-29
11170,174,2020-06-29
11201,191.1,2020-06-29
11231,214.4,2020-06-29
11262,248.7,2020-06-29
11292,137.6,2020-06-29
11323,53.2,2020-06-29
11354,49.5,2020-06-29
11382,69.9,2020-06-29
11413,119.8,2020-06-29
11443,177.7,2020-06-29
11474,179,2020-06-29
11504,167.8,2020-06-29
11535,230.6,2020-06-29
11566,225.8,2020-06-29
11596,262.7,2020-06-29
11627,312.2,2020-06-29
11657,264.3,2020-06-29
11688,105,2020-06-29
11719,111.2,2020-06-29
11747,122.7,2020-06-29
11778,162.7,2020-06-29
11808,204.5,2020-06-29
11839,184.6,2020-06-29
11869,239,2020-06-29
11900,250.5,2020-06-29
11931,264.3,2020-06-29
11961,241.2,2020-06-29
11992,233.7,2020-06-29
12022,97,2020-06-29
12053,95.7,2020-06-29
12084,89.2,2020-06-29
12112,105.5,2020-06-29
12143,172.1,2020-06-29
12173,228.8,2020-06-29
12204,214.3,2020-06-29
12234,258.4,2020-06-29
12265,261.4,2020-06-29
12296,260.7,2020-06-29
12326,324.7,2020-06-29
12357,342.7,2020-06-29
12387,173.8,2020-06-29
12418,126,2020-06-29
12449,120.1,2020-06-29
12478,155.4,2020-06-29
12509,267,2020-06-29
12539,358.4,2020-06-29
12570,412,2020-06-29
12600,539.9,2020-06-29
12631,614.2,2020-06-29
12662,710.3,2020-06-29
12692,832.6,2020-06-29
12723,938.4,2020-06-29
12753,760.2,2020-06-29
12784,343.5,2020-06-29
12815,459.3,2020-06-29
12843,655.4,2020-06-29
12874,786.2,2020-06-29
12904,919.5,2020-06-29
12935,1070.7,2020-06-29
12965,1208.3,2020-06-29
12996,1356.1,2020-06-29
13027,1325.9,2020-06-29
13057,1671.1,2020-06-29
13088,1900.8,2020-06-29
13118,1759,2020-06-29
13149,298.9,2020-06-29
13180,448.4,2020-06-29
13208,715.3,2020-06-29
13239,850.6,2020-06-29
13269,1194.8,2020-06-29
13300,1402.7,2020-06-29
13330,1654.4,2020-06-29
13361,1977.5,2020-06-29
13392,2131,2020-06-29
13422,2424.1,2020-06-29
13453,2626.7,2020-06-29
13483,2250.6,2020-06-29
13514,371.2,2020-06-29
13545,508.4,2020-06-29
13573,775.6,2020-06-29
13604,923.5,2020-06-29
13634,1241.2,2020-06-29
13665,1464.5,2020-06-29
13695,1819.9,2020-06-29
13726,2120,2020-06-29
13757,2182.6,2020-06-29
13787,2965.8,2020-06-29
13818,2523.1,2020-06-29
13848,1989.7,2020-06-29
13879,561,2020-06-29
13910,694.1,2020-06-29
13939,998.4,2020-06-29
13970,1793,2020-06-29
14000,2053.4,2020-06-29
14031,2028.1,2020-06-29
14061,3073.8,2020-06-29
14092,3305.6,2020-06-29
14123,3437.4,2020-06-29
14153,3834.6,2020-06-29
14184,3380,2020-06-29
14214,2012.1,2020-06-29
14245,582.9,2020-06-29
14276,317.4,2020-06-29
14304,226.4,2020-06-29
14335,15.6,2020-06-29
14365,-162.6,2020-06-29
14396,-577,2020-06-29
14426,-575.4,2020-06-29
14457,-565.7,2020-06-29
14488,-948.9,2020-06-29
14518,-920.4,2020-06-29
14549,-1123.4,2020-06-29
14579,-2448.6,2020-06-29
14610,396,2020-06-29
14641,243.7,2020-06-29
14669,242.4,2020-06-29
14700,308.9,2020-06-29
14730,288.9,2020-06-29
14761,272.3,2020-06-29
