date,ind_prod,access_date
16436,82.6,2020-06-29
16467,97.2,2020-06-29
16495,110.9,2020-06-29
16526,95.3,2020-06-29
16556,98.9,2020-06-29
16587,101.6,2020-06-29
16617,101.3,2020-06-29
16648,100.5,2020-06-29
16679,101,2020-06-29
16709,105.2,2020-06-29
16740,99.5,2020-06-29
16770,107.9,2020-06-29
16801,82.7,2020-06-29
16832,100.1,2020-06-29
16861,109.7,2020-06-29
16892,94.3,2020-06-29
16922,99.5,2020-06-29
16953,102.3,2020-06-29
16983,100.5,2020-06-29
17014,102.3,2020-06-29
17045,101.3,2020-06-29
17075,105.8,2020-06-29
17106,101.6,2020-06-29
17136,106.6,2020-06-29
17167,84.9,2020-06-29
17198,95.4,2020-06-29
17226,111.8,2020-06-29
17257,95,2020-06-29
17287,101.3,2020-06-29
17318,101.5,2020-06-29
17348,99.6,2020-06-29
17379,102.9,2020-06-29
17410,100.2,2020-06-29
17440,104,2020-06-29
17471,100.4,2020-06-29
17501,105.7,2020-06-29
17532,86.9,2020-06-29
17563,95.8,2020-06-29
17591,111.4,2020-06-29
17622,95.4,2020-06-29
17652,101.6,2020-06-29
17683,100.2,2020-06-29
17713,101,2020-06-29
17744,102.1,2020-06-29
17775,99.8,2020-06-29
17805,107,2020-06-29
17836,99.6,2020-06-29
17866,107.8,2020-06-29
17897,83.2,2020-06-29
17928,97.3,2020-06-29
17956,109.5,2020-06-29
17987,97.6,2020-06-29
18017,97.5,2020-06-29
18048,102.2,2020-06-29
18078,101.9,2020-06-29
18109,102.1,2020-06-29
18140,100.8,2020-06-29
18170,106.2,2020-06-29
18201,97.3,2020-06-29
18231,109,2020-06-29
18262,82.7,2020-06-29
18293,99.4,2020-06-29
18322,106.4,2020-06-29
18353,90.8,2020-06-29
18383,94.5,2020-06-29
