date,investment,access_date
10592,93.8,2020-06-29
10682,99.2,2020-06-29
10773,105,2020-06-29
10865,117.4,2020-06-29
10957,113.5,2020-06-29
11048,119.6,2020-06-29
11139,119.7,2020-06-29
11231,116.1,2020-06-29
11323,107,2020-06-29
11413,109.5,2020-06-29
11504,109.9,2020-06-29
11596,111.9,2020-06-29
11688,101.3,2020-06-29
11778,103.5,2020-06-29
11869,102.7,2020-06-29
11961,103.1,2020-06-29
12053,110.1,2020-06-29
12143,113.1,2020-06-29
12234,111.8,2020-06-29
12326,113.7,2020-06-29
12418,118.4,2020-06-29
12509,116.9,2020-06-29
12600,111.8,2020-06-29
12692,111.2,2020-06-29
12784,106.3,2020-06-29
12874,108.4,2020-06-29
12965,111.4,2020-06-29
13057,114.3,2020-06-29
13149,108.8,2020-06-29
13239,117.7,2020-06-29
13330,116.1,2020-06-29
13422,120.3,2020-06-29
13514,120.3,2020-06-29
13604,121.3,2020-06-29
13695,116.9,2020-06-29
13787,128.5,2020-06-29
13879,123.4,2020-06-29
13970,117.6,2020-06-29
14061,112.3,2020-06-29
14153,98.7,2020-06-29
14245,82,2020-06-29
14335,79.1,2020-06-29
14426,82.3,2020-06-29
14518,90.7,2020-06-29
14610,95.2,2020-06-29
14700,105.6,2020-06-29
14791,105.3,2020-06-29
14883,111.1,2020-06-29
14975,103.9,2020-06-29
15065,107.8,2020-06-29
15156,111.3,2020-06-29
15248,114.8,2020-06-29
15340,113.9,2020-06-29
15431,110.6,2020-06-29
15522,105.5,2020-06-29
15614,103.2,2020-06-29
15706,102.5,2020-06-29
15796,100.2,2020-06-29
15887,99.7,2020-06-29
15979,101.1,2020-06-29
16071,96.9,2020-06-29
16161,100.2,2020-06-29
16252,99.8,2020-06-29
16344,97.3,2020-06-29
16436,94.1,2020-06-29
16526,89.3,2020-06-29
16617,86.9,2020-06-29
16709,90.7,2020-06-29
16801,96.5,2020-06-29
16892,96.9,2020-06-29
16983,99.2,2020-06-29
17075,103.2,2020-06-29
17167,106.3,2020-06-29
17257,105.6,2020-06-29
17348,104.6,2020-06-29
17440,103.9,2020-06-29
17532,106.2,2020-06-29
17622,105.5,2020-06-29
17713,110.4,2020-06-29
17805,101.9,2020-06-29
17897,100.9,2020-06-29
17987,101.2,2020-06-29
18078,101.7,2020-06-29
18170,102.3,2020-06-29
