date,gdp_2016_price,access_date
2011-01-01,18440.083541412,2020-07-15
2011-04-01,19714.7983836423,2020-07-15
2011-07-01,20978.4241456063,2020-07-15
2011-10-01,22617.2640036255,2020-07-15
2012-01-01,19492.3081064737,2020-07-15
2012-04-01,20672.4469778873,2020-07-15
2012-07-01,21711.5749787369,2020-07-15
2012-10-01,23163.953384963,2020-07-15
2013-01-01,19712.5306261595,2020-07-15
2013-04-01,21028.1037790257,2020-07-15
2013-07-01,22039.0924653798,2020-07-15
2013-10-01,23753.3725488541,2020-07-15
2014-01-01,19703.1220823644,2020-07-15
2014-04-01,21144.8082868644,2020-07-15
2014-07-01,22348.6641551503,2020-07-15
2014-10-01,23973.6197417299,2020-07-15
2015-01-01,19401.7408126884,2020-07-15
2015-04-01,20490.9515696265,2020-07-15
2015-07-01,21967.9990181957,2020-07-15
2015-10-01,23589.8992890508,2020-07-15
2016-01-01,19361.6872098271,2020-07-15
2016-04-01,20556.7233370853,2020-07-15
2016-07-01,21980.8550008175,2020-07-15
2016-10-01,23716.8182670087,2020-07-15
2017-01-01,19615.8386209698,2020-07-15
2017-04-01,21038.5281270306,2020-07-15
2017-07-01,22560.9980814094,2020-07-15
2017-10-01,23963.9054172014,2020-07-15
2018-01-01,20052.5300999425,2020-07-15
2018-04-01,21582.578719333,2020-07-15
2018-07-01,23120.7940862981,2020-07-15
2018-10-01,24634.5224606763,2020-07-15
2019-01-01,20129.9965706423,2020-07-15
2019-04-01,21828.229555481,2020-07-15
2019-07-01,23476.7475296908,2020-07-15
2019-10-01,25154.9598747282,2020-07-15
2020-01-01,20458.7,2020-07-15

