date,dur_1_day,dur_2_7_days,dur_8_30_days,dur_31_90_days,dur_91_180_days,dur_181_plus_days,access_date
2000-08-01,6.79,6.74,6.86,6.89,,,2020-11-10
2000-09-01,6.46,6.51,6.51,6.74,,,2020-11-10
2000-10-01,6.15,6.25,6.28,6.35,6.56,7.16,2020-11-10
2000-11-01,6.04,5.96,6.1,,,,2020-11-10
2000-12-01,5.94,5.84,6,6.07,,,2020-11-10
2001-01-01,5.79,5.86,5.99,6.72,4.38,6.77,2020-11-10
2001-02-01,5.99,5.85,5.88,,,6.6,2020-11-10
2001-03-01,5.47,5.46,5.59,,,,2020-11-10
2001-04-01,4.99,4.86,4.7,4.46,,5.31,2020-11-10
2001-05-01,4.23,4.18,4.4,5.07,,,2020-11-10
2001-06-01,4.16,4.14,4.24,4.27,,,2020-11-10
2001-07-01,4.17,4.2,4.19,4.23,4.61,,2020-11-10
2001-08-01,4.17,4.22,4.25,4.64,,,2020-11-10
