date,import,export,access_date
1997-01-01,236,226,2020-12-05
1997-02-01,231,233,2020-12-05
1997-03-01,242,240,2020-12-05
1997-04-01,238,254,2020-12-05
1997-05-01,234,237,2020-12-05
1997-06-01,237,246,2020-12-05
1997-07-01,244,259,2020-12-05
1997-08-01,239,252,2020-12-05
1997-09-01,240,255,2020-12-05
1997-10-01,249,265,2020-12-05
1997-11-01,259,262,2020-12-05
1997-12-01,270,275,2020-12-05
1998-01-01,218,242,2020-12-05
1998-02-01,216,249,2020-12-05
1998-03-01,233,260,2020-12-05
1998-04-01,225,253,2020-12-05
1998-05-01,223,243,2020-12-05
1998-06-01,229,244,2020-12-05
1998-07-01,235,238,2020-12-05
1998-08-01,226,228,2020-12-05
1998-09-01,227,183,2020-12-05
1998-10-01,221,173,2020-12-05
1998-11-01,219,174,2020-12-05
1998-12-01,241,204,2020-12-05
1999-01-01,174,138,2020-12-05
1999-02-01,199,162,2020-12-05
1999-03-01,215,199,2020-12-05
1999-04-01,224,191,2020-12-05
1999-05-01,209,157,2020-12-05
1999-06-01,213,210,2020-12-05
1999-07-01,220,187,2020-12-05
1999-08-01,217,176,2020-12-05
1999-09-01,222,178,2020-12-05
1999-10-01,232,194,2020-12-05
1999-11-01,243,200,2020-12-05
1999-12-01,275,209,2020-12-05
2000-01-01,232,156,2020-12-05
2000-02-01,246,196,2020-12-05
2000-03-01,271,203,2020-12-05
2000-04-01,248,192,2020-12-05
2000-05-01,255,193,2020-12-05
2000-06-01,263,201,2020-12-05
2000-07-01,260,202,2020-12-05
2000-08-01,268,208,2020-12-05
2000-09-01,265,205,2020-12-05
2000-10-01,264,212,2020-12-05
2000-11-01,281,215,2020-12-05
2000-12-01,283,225,2020-12-05
2001-01-01,254,188,2020-12-05
2001-02-01,252,207,2020-12-05
2001-03-01,266,214,2020-12-05
2001-04-01,256,216,2020-12-05
2001-05-01,261,218,2020-12-05
2001-06-01,269,221,2020-12-05
2001-07-01,247,217,2020-12-05
2001-08-01,267,219,2020-12-05
2001-09-01,257,213,2020-12-05
2001-10-01,245,224,2020-12-05
2001-11-01,253,229,2020-12-05
2001-12-01,250,241,2020-12-05
2002-01-01,230,206,2020-12-05
2002-02-01,228,211,2020-12-05
2002-03-01,258,220,2020-12-05
2002-04-01,274,230,2020-12-05
2002-05-01,262,222,2020-12-05
2002-06-01,251,227,2020-12-05
2002-07-01,273,235,2020-12-05
2002-08-01,280,232,2020-12-05
2002-09-01,277,231,2020-12-05
2002-10-01,279,245,2020-12-05
2002-11-01,272,239,2020-12-05
2002-12-01,2,258,2020-12-05
2003-01-01,276,223,2020-12-05
2003-02-01,278,234,2020-12-05
2003-03-01,7,248,2020-12-05
2003-04-01,282,251,2020-12-05
2003-05-01,284,247,2020-12-05
2003-06-01,1,250,2020-12-05
2003-07-01,3,263,2020-12-05
2003-08-01,8,256,2020-12-05
2003-09-01,6,257,2020-12-05
2003-10-01,10,266,2020-12-05
2003-11-01,5,264,2020-12-05
2003-12-01,12,276,2020-12-05
2004-01-01,4,236,2020-12-05
2004-02-01,9,261,2020-12-05
2004-03-01,13,270,2020-12-05
2004-04-01,15,269,2020-12-05
2004-05-01,11,268,2020-12-05
2004-06-01,16,271,2020-12-05
2004-07-01,17,274,2020-12-05
2004-08-01,20,273,2020-12-05
2004-09-01,19,272,2020-12-05
2004-10-01,21,279,2020-12-05
2004-11-01,23,280,2020-12-05
2004-12-01,25,7,2020-12-05
2005-01-01,14,267,2020-12-05
2005-02-01,18,278,2020-12-05
2005-03-01,30,1,2020-12-05
2005-04-01,29,282,2020-12-05
2005-05-01,31,281,2020-12-05
2005-06-01,28,284,2020-12-05
2005-07-01,36,6,2020-12-05
2005-08-01,38,4,2020-12-05
2005-09-01,39,5,2020-12-05
2005-10-01,44,10,2020-12-05
2005-11-01,43,13,2020-12-05
2005-12-01,60,21,2020-12-05
2006-01-01,33,277,2020-12-05
2006-02-01,40,2,2020-12-05
2006-03-01,56,14,2020-12-05
2006-04-01,52,9,2020-12-05
2006-05-01,77,16,2020-12-05
2006-06-01,64,28,2020-12-05
2006-07-01,69,19,2020-12-05
2006-08-01,84,25,2020-12-05
2006-09-01,67,26,2020-12-05
2006-10-01,54,39,2020-12-05
2006-11-01,55,43,2020-12-05
2006-12-01,87,83,2020-12-05
2007-01-01,37,11,2020-12-05
2007-02-01,47,22,2020-12-05
2007-03-01,71,54,2020-12-05
2007-04-01,81,49,2020-12-05
2007-05-01,89,59,2020-12-05
2007-06-01,74,72,2020-12-05
2007-07-01,93,81,2020-12-05
2007-08-01,103,89,2020-12-05
2007-09-01,83,73,2020-12-05
2007-10-01,132,116,2020-12-05
2007-11-01,137,120,2020-12-05
2007-12-01,151,136,2020-12-05
2008-01-01,129,38,2020-12-05
2008-02-01,136,99,2020-12-05
2008-03-01,157,123,2020-12-05
2008-04-01,163,137,2020-12-05
2008-05-01,179,130,2020-12-05
2008-06-01,183,140,2020-12-05
2008-07-01,205,170,2020-12-05
2008-08-01,196,155,2020-12-05
2008-09-01,182,158,2020-12-05
2008-10-01,154,145,2020-12-05
2008-11-01,94,103,2020-12-05
2008-12-01,98,124,2020-12-05
2009-01-01,27,3,2020-12-05
2009-02-01,24,18,2020-12-05
2009-03-01,41,24,2020-12-05
2009-04-01,26,23,2020-12-05
2009-05-01,35,17,2020-12-05
2009-06-01,51,29,2020-12-05
2009-07-01,73,32,2020-12-05
2009-08-01,78,30,2020-12-05
