date,m2sa,access_date
1995-07-01,152.42465120674,2020-12-08
1995-08-01,162.899829372458,2020-12-08
1995-09-01,173.980355765012,2020-12-08
1995-10-01,183.783100807819,2020-12-08
1995-11-01,190.071469804169,2020-12-08
1995-12-01,200.36809642837,2020-12-08
1996-01-01,211.466667685158,2020-12-08
1996-02-01,220.172544603658,2020-12-08
1996-03-01,229.828336499941,2020-12-08
1996-04-01,243.012397874872,2020-12-08
1996-05-01,247.819891343395,2020-12-08
1996-06-01,252.164471471947,2020-12-08
1996-07-01,259.828841051161,2020-12-08
1996-08-01,268.454915514887,2020-12-08
1996-09-01,275.673589696411,2020-12-08
1996-10-01,282.312679348182,2020-12-08
1996-11-01,287.362730086164,2020-12-08
1996-12-01,289.626593058192,2020-12-08
1997-01-01,276.047113684701,2020-12-08
1997-02-01,294.552535365525,2020-12-08
1997-03-01,300.610366810492,2020-12-08
1997-04-01,307.737758163771,2020-12-08
1997-05-01,314.528747277258,2020-12-08
1997-06-01,325.798915599152,2020-12-08
1997-07-01,342.768605523162,2020-12-08
1997-08-01,358.482495491731,2020-12-08
1997-09-01,365.161849029252,2020-12-08
1997-10-01,370.603759202814,2020-12-08
1997-11-01,379.156535954349,2020-12-08
1997-12-01,365.514152631585,2020-12-08
1998-01-01,357.947362112815,2020-12-08
1998-02-01,370.967383686199,2020-12-08
1998-03-01,369.117540264613,2020-12-08
1998-04-01,367.603771300333,2020-12-08
1998-05-01,370.207751140796,2020-12-08
1998-06-01,372.847919384437,2020-12-08
1998-07-01,365.002832701222,2020-12-08
1998-08-01,360.843738319263,2020-12-08
1998-09-01,350.862589727374,2020-12-08
1998-10-01,380.864155884094,2020-12-08
1998-11-01,396.472680466959,2020-12-08
1998-12-01,415.338550146387,2020-12-08
1999-01-01,433.395594678433,2020-12-08
1999-02-01,458.679291390078,2020-12-08
1999-03-01,475.790824804602,2020-12-08
1999-04-01,487.141597431457,2020-12-08
1999-05-01,517.441552627942,2020-12-08
1999-06-01,549.649234465511,2020-12-08
1999-07-01,567.496004952631,2020-12-08
1999-08-01,588.31189344045,2020-12-08
1999-09-01,605.986605008816,2020-12-08
1999-10-01,620.420442242784,2020-12-08
1999-11-01,652.918791269466,2020-12-08
1999-12-01,674.30148910314,2020-12-08
2000-01-01,681.336177152131,2020-12-08
2000-02-01,723.297757660524,2020-12-08
2000-03-01,752.022324996448,2020-12-08
2000-04-01,777.808844358947,2020-12-08
2000-05-01,803.524725741821,2020-12-08
2000-06-01,844.143901237547,2020-12-08
2000-07-01,884.875199390252,2020-12-08
2000-08-01,938.587939503079,2020-12-08
2000-09-01,976.898038051089,2020-12-08
2000-10-01,1018.92430086469,2020-12-08
2000-11-01,1035.4756423345,2020-12-08
2000-12-01,1070.27033183797,2020-12-08
2001-01-01,1094.96942485294,2020-12-08
2001-02-01,1112.49453162483,2020-12-08
2001-03-01,1136.85731756583,2020-12-08
2001-04-01,1174.57979201245,2020-12-08
2001-05-01,1224.63616560057,2020-12-08
2001-06-01,1235.13628601135,2020-12-08
2001-07-01,1271.30776781032,2020-12-08
2001-08-01,1321.83018312382,2020-12-08
2001-09-01,1373.05018150709,2020-12-08
2001-10-01,1430.93464418881,2020-12-08
2001-11-01,1476.55864898773,2020-12-08
2001-12-01,1469.66337386127,2020-12-08
2002-01-01,1529.57144631853,2020-12-08
2002-02-01,1543.13102428296,2020-12-08
2002-03-01,1560.27023227863,2020-12-08
2002-04-01,1592.2558163618,2020-12-08
2002-05-01,1636.99431567485,2020-12-08
2002-06-01,1692.85735166913,2020-12-08
2002-07-01,1721.70897209679,2020-12-08
2002-08-01,1771.60303203213,2020-12-08
2002-09-01,1822.48938395025,2020-12-08
2002-10-01,1865.64487271337,2020-12-08
2002-11-01,1937.67291894054,2020-12-08
2002-12-01,1976.76164127425,2020-12-08
2003-01-01,2023.23873562237,2020-12-08
2003-02-01,2073.85294438852,2020-12-08
2003-03-01,2152.12091160796,2020-12-08
2003-04-01,2238.84483634106,2020-12-08
2003-05-01,2333.73429005767,2020-12-08
2003-06-01,2438.91215516558,2020-12-08
2003-07-01,2553.29917971703,2020-12-08
2003-08-01,2616.26154227681,2020-12-08
2003-09-01,2695.6411253632,2020-12-08
2003-10-01,2752.49883936229,2020-12-08
2003-11-01,2814.08493706054,2020-12-08
2003-12-01,2891.61184990278,2020-12-08
2004-01-01,3042.27996087208,2020-12-08
2004-02-01,3259.26947445484,2020-12-08
2004-03-01,3380.38491583265,2020-12-08
2004-04-01,3431.97691067366,2020-12-08
