date,in_res,nfa_cb,for_cur,sdr,mvf_pos,mon_gold,access_date
2019-12-01,542029,436132,425577,6664,3891,105896,2021-01-09
2020-01-01,554359,443983,433297,6717,3970,110376,2021-01-09
2020-02-01,562306,446488,435841,6693,3955,115818,2021-01-09
2020-03-01,570381,450629,440019,6671,3940,119752,2021-01-09
2020-04-01,563473,443634,433099,6631,3904,119840,2021-01-09
2020-05-01,566012,439927,429156,6639,4133,126084,2021-01-09
2020-06-01,566134,438568,427469,6663,4436,127566,2021-01-09
2020-07-01,568872,438082,426640,6681,4761,130790,2021-01-09
2020-08-01,591753,447431,435707,6863,4861,144322,2021-01-09
2020-09-01,594422,449834,438062,6891,4881,144588,2021-01-09
2020-10-01,583426,444309,432630,6837,4842,139117,2021-01-09
2020-11-01,582845,444188,432206,6857,5124,138657,2021-01-09
2020-12-01,582676,449006,436885,6946,5175,133670,2021-01-09
