date,cpi,access_date
1991-01-01,167,2021-01-17
1991-02-01,162,2021-01-17
1991-03-01,168,2021-01-17
1991-04-01,212,2021-01-17
1991-05-01,148,2021-01-17
1991-06-01,100,2021-01-17
1991-07-01,50,2021-01-17
1991-08-01,40,2021-01-17
1991-09-01,93,2021-01-17
1991-10-01,152,2021-01-17
1991-11-01,178,2021-01-17
1991-12-01,186,2021-01-17
1992-01-01,213,2021-01-17
1992-02-01,210,2021-01-17
1992-03-01,209,2021-01-17
1992-04-01,200,2021-01-17
1992-05-01,185,2021-01-17
1992-06-01,196,2021-01-17
1992-07-01,180,2021-01-17
1992-08-01,177,2021-01-17
1992-09-01,183,2021-01-17
1992-10-01,202,2021-01-17
1992-11-01,208,2021-01-17
1992-12-01,205,2021-01-17
1993-01-01,206,2021-01-17
1993-02-01,204,2021-01-17
1993-03-01,199,2021-01-17
1993-04-01,195,2021-01-17
1993-05-01,194,2021-01-17
1993-06-01,198,2021-01-17
1993-07-01,201,2021-01-17
1993-08-01,207,2021-01-17
1993-09-01,203,2021-01-17
1993-10-01,197,2021-01-17
1993-11-01,190,2021-01-17
1993-12-01,187,2021-01-17
1994-01-01,193,2021-01-17
1994-02-01,181,2021-01-17
1994-03-01,171,2021-01-17
1994-04-01,176,2021-01-17
1994-05-01,170,2021-01-17
1994-06-01,166,2021-01-17
1994-07-01,163,2021-01-17
1994-08-01,160,2021-01-17
1994-09-01,173,2021-01-17
1994-10-01,189,2021-01-17
1994-11-01,188,2021-01-17
1994-12-01,191,2021-01-17
1995-01-01,192,2021-01-17
1995-02-01,182,2021-01-17
1995-03-01,179,2021-01-17
1995-04-01,175,2021-01-17
1995-05-01,172,2021-01-17
1995-06-01,169,2021-01-17
1995-07-01,164,2021-01-17
1995-08-01,159,2021-01-17
1995-09-01,157,2021-01-17
1995-10-01,161,2021-01-17
1995-11-01,159,2021-01-17
1995-12-01,151,2021-01-17
1996-01-01,155,2021-01-17
1996-02-01,145,2021-01-17
1996-03-01,146,2021-01-17
1996-04-01,133,2021-01-17
1996-05-01,117,2021-01-17
1996-06-01,99,2021-01-17
1996-07-01,61,2021-01-17
1996-08-01,218,2021-01-17
1996-09-01,24,2021-01-17
1996-10-01,100,2021-01-17
1996-11-01,130,2021-01-17
1996-12-01,111,2021-01-17
1997-01-01,138,2021-01-17
1997-02-01,116,2021-01-17
1997-03-01,112,2021-01-17
1997-04-01,81,2021-01-17
1997-05-01,79,2021-01-17
1997-06-01,93,2021-01-17
1997-07-01,78,2021-01-17
1997-08-01,221,2021-01-17
1997-09-01,216,2021-01-17
1997-10-01,11,2021-01-17
1997-11-01,51,2021-01-17
1997-12-01,81,2021-01-17
1998-01-01,114,2021-01-17
1998-02-01,74,2021-01-17
1998-03-01,54,2021-01-17
1998-04-01,29,2021-01-17
1998-05-01,40,2021-01-17
1998-06-01,5,2021-01-17
1998-07-01,11,2021-01-17
1998-08-01,153,2021-01-17
1998-09-01,211,2021-01-17
1998-10-01,158,2021-01-17
1998-11-01,165,2021-01-17
1998-12-01,184,2021-01-17
1999-01-01,174,2021-01-17
1999-02-01,156,2021-01-17
1999-03-01,145,2021-01-17
1999-04-01,149,2021-01-17
1999-05-01,134,2021-01-17
1999-06-01,131,2021-01-17
1999-07-01,147,2021-01-17
1999-08-01,98,2021-01-17
1999-09-01,113,2021-01-17
1999-10-01,110,2021-01-17
1999-11-01,102,2021-01-17
1999-12-01,103,2021-01-17
2000-01-01,137,2021-01-17
2000-02-01,88,2021-01-17
2000-03-01,54,2021-01-17
2000-04-01,74,2021-01-17
2000-05-01,126,2021-01-17
2000-06-01,142,2021-01-17
2000-07-01,128,2021-01-17
2000-08-01,83,2021-01-17
2000-09-01,106,2021-01-17
2000-10-01,132,2021-01-17
2000-11-01,115,2021-01-17
2000-12-01,121,2021-01-17
2001-01-01,144,2021-01-17
2001-02-01,135,2021-01-17
2001-03-01,129,2021-01-17
2001-04-01,128,2021-01-17
2001-05-01,127,2021-01-17
2001-06-01,119,2021-01-17
2001-07-01,36,2021-01-17
2001-08-01,2,2021-01-17
2001-09-01,50,2021-01-17
2001-10-01,92,2021-01-17
2001-11-01,109,2021-01-17
2001-12-01,117,2021-01-17
2002-01-01,150,2021-01-17
2002-02-01,98,2021-01-17
2002-03-01,91,2021-01-17
2002-04-01,98,2021-01-17
2002-05-01,125,2021-01-17
2002-06-01,43,2021-01-17
2002-07-01,61,2021-01-17
2002-08-01,6,2021-01-17
2002-09-01,31,2021-01-17
2002-10-01,90,2021-01-17
2002-11-01,118,2021-01-17
2002-12-01,116,2021-01-17
2003-01-01,140,2021-01-17
2003-02-01,120,2021-01-17
2003-03-01,89,2021-01-17
2003-04-01,87,2021-01-17
2003-05-01,67,2021-01-17
2003-06-01,67,2021-01-17
2003-07-01,60,2021-01-17
2003-08-01,215,2021-01-17
2003-09-01,25,2021-01-17
2003-10-01,85,2021-01-17
2003-11-01,81,2021-01-17
2003-12-01,93,2021-01-17
2004-01-01,126,2021-01-17
2004-02-01,84,2021-01-17
2004-03-01,63,2021-01-17
2004-04-01,84,2021-01-17
2004-05-01,62,2021-01-17
2004-06-01,65,2021-01-17
2004-07-01,77,2021-01-17
2004-08-01,33,2021-01-17
2004-09-01,34,2021-01-17
2004-10-01,97,2021-01-17
2004-11-01,94,2021-01-17
2004-12-01,97,2021-01-17
2005-01-01,143,2021-01-17
2005-02-01,102,2021-01-17
2005-03-01,107,2021-01-17
2005-04-01,95,2021-01-17
2005-05-01,67,2021-01-17
2005-06-01,54,2021-01-17
2005-07-01,37,2021-01-17
2005-08-01,221,2021-01-17
2005-09-01,18,2021-01-17
2005-10-01,45,2021-01-17
2005-11-01,62,2021-01-17
2005-12-01,69,2021-01-17
2006-01-01,141,2021-01-17
2006-02-01,123,2021-01-17
2006-03-01,69,2021-01-17
2006-04-01,26,2021-01-17
2006-05-01,38,2021-01-17
2006-06-01,20,2021-01-17
2006-07-01,57,2021-01-17
2006-08-01,12,2021-01-17
2006-09-01,6,2021-01-17
2006-10-01,20,2021-01-17
2006-11-01,53,2021-01-17
2006-12-01,66,2021-01-17
2007-01-01,124,2021-01-17
2007-02-01,94,2021-01-17
2007-03-01,49,2021-01-17
2007-04-01,47,2021-01-17
2007-05-01,53,2021-01-17
2007-06-01,80,2021-01-17
2007-07-01,73,2021-01-17
2007-08-01,6,2021-01-17
2007-09-01,66,2021-01-17
2007-10-01,121,2021-01-17
2007-11-01,102,2021-01-17
2007-12-01,96,2021-01-17
2008-01-01,136,2021-01-17
2008-02-01,100,2021-01-17
2008-03-01,100,2021-01-17
2008-04-01,111,2021-01-17
2008-05-01,108,2021-01-17
2008-06-01,82,2021-01-17
2008-07-01,41,2021-01-17
2008-08-01,27,2021-01-17
2008-09-01,67,2021-01-17
2008-10-01,76,2021-01-17
2008-11-01,70,2021-01-17
2008-12-01,58,2021-01-17
2009-01-01,139,2021-01-17
2009-02-01,122,2021-01-17
2009-03-01,105,2021-01-17
2009-04-01,58,2021-01-17
2009-05-01,47,2021-01-17
2009-06-01,50,2021-01-17
2009-07-01,53,2021-01-17
2009-08-01,1,2021-01-17
2009-09-01,224,2021-01-17
2009-10-01,1,2021-01-17
2009-11-01,21,2021-01-17
2009-12-01,32,2021-01-17
2010-01-01,121,2021-01-17
2010-02-01,72,2021-01-17
2010-03-01,53,2021-01-17
2010-04-01,21,2021-01-17
2010-05-01,40,2021-01-17
2010-06-01,30,2021-01-17
2010-07-01,27,2021-01-17
2010-08-01,45,2021-01-17
2010-09-01,71,2021-01-17
2010-10-01,40,2021-01-17
2010-11-01,68,2021-01-17
2010-12-01,91,2021-01-17
2011-01-01,139,2021-01-17
2011-02-01,65,2021-01-17
2011-03-01,52,2021-01-17
2011-04-01,34,2021-01-17
2011-05-01,38,2021-01-17
2011-06-01,16,2021-01-17
2011-07-01,225,2021-01-17
2011-08-01,217,2021-01-17
2011-09-01,223,2021-01-17
2011-10-01,38,2021-01-17
2011-11-01,33,2021-01-17
2011-12-01,35,2021-01-17
2012-01-01,40,2021-01-17
2012-02-01,28,2021-01-17
2012-03-01,48,2021-01-17
2012-04-01,22,2021-01-17
2012-05-01,42,2021-01-17
2012-06-01,74,2021-01-17
2012-07-01,102,2021-01-17
2012-08-01,7,2021-01-17
2012-09-01,45,2021-01-17
2012-10-01,37,2021-01-17
2012-11-01,25,2021-01-17
2012-12-01,44,2021-01-17
2013-01-01,82,2021-01-17
2013-02-01,46,2021-01-17
2013-03-01,25,2021-01-17
2013-04-01,41,2021-01-17
2013-05-01,56,2021-01-17
2013-06-01,33,2021-01-17
2013-07-01,69,2021-01-17
2013-08-01,9,2021-01-17
2013-09-01,14,2021-01-17
2013-10-01,47,2021-01-17
