date,constr_vol_cur_price,access_date
1999-01-01,14.1,2021-01-23
1999-02-01,16.3,2021-01-23
1999-03-01,20.5,2021-01-23
1999-04-01,19.6,2021-01-23
1999-05-01,22,2021-01-23
1999-06-01,27.5,2021-01-23
1999-07-01,29.3,2021-01-23
1999-08-01,29.1,2021-01-23
1999-09-01,33,2021-01-23
1999-10-01,30.9,2021-01-23
1999-11-01,29.9,2021-01-23
1999-12-01,35.6,2021-01-23
2000-01-01,21.6,2021-01-23
2000-02-01,25.5,2021-01-23
2000-03-01,31.7,2021-01-23
2000-04-01,32.1,2021-01-23
2000-05-01,36.5,2021-01-23
2000-06-01,45,2021-01-23
2000-07-01,48.1,2021-01-23
2000-08-01,50,2021-01-23
2000-09-01,53.6,2021-01-23
2000-10-01,51.8,2021-01-23
2000-11-01,51.1,2021-01-23
2000-12-01,56.8,2021-01-23
2001-01-01,32.7,2021-01-23
2001-02-01,38,2021-01-23
2001-03-01,46.2,2021-01-23
2001-04-01,46.4,2021-01-23
2001-05-01,52.1,2021-01-23
2001-06-01,62.4,2021-01-23
2001-07-01,66.1,2021-01-23
2001-08-01,71.1,2021-01-23
2001-09-01,73.7,2021-01-23
2001-10-01,69.9,2021-01-23
2001-11-01,68.7,2021-01-23
2001-12-01,76.5,2021-01-23
2002-01-01,39.2,2021-01-23
2002-02-01,43.9,2021-01-23
2002-03-01,53.2,2021-01-23
2002-04-01,54,2021-01-23
2002-05-01,61.3,2021-01-23
2002-06-01,73.5,2021-01-23
2002-07-01,78.6,2021-01-23
2002-08-01,85,2021-01-23
2002-09-01,87.6,2021-01-23
2002-10-01,82.1,2021-01-23
2002-11-01,81.2,2021-01-23
2002-12-01,91.4,2021-01-23
2003-01-01,49.9,2021-01-23
2003-02-01,55.6,2021-01-23
2003-03-01,67.2,2021-01-23
2003-04-01,69.1,2021-01-23
2003-05-01,78.1,2021-01-23
2003-06-01,92.4,2021-01-23
2003-07-01,98.2,2021-01-23
2003-08-01,105.6,2021-01-23
2003-09-01,109.2,2021-01-23
2003-10-01,102.5,2021-01-23
2003-11-01,98.9,2021-01-23
2003-12-01,116,2021-01-23
2004-01-01,62.3,2021-01-23
2004-02-01,70.3,2021-01-23
2004-03-01,85.3,2021-01-23
2004-04-01,88.7,2021-01-23
2004-05-01,100.4,2021-01-23
2004-06-01,117.9,2021-01-23
2004-07-01,120.4,2021-01-23
2004-08-01,130,2021-01-23
2004-09-01,133.7,2021-01-23
2004-10-01,124.8,2021-01-23
