date,cpi,access_date
1991-01-01,88.7,2021-05-01
1991-02-01,106,2021-05-01
1991-03-01,105.3,2021-05-01
1991-04-01,99.7,2021-05-01
1991-05-01,102,2021-05-01
1991-06-01,97.9,2021-05-01
1991-07-01,98.4,2021-05-01
1991-08-01,101.1,2021-05-01
1991-09-01,108.2,2021-05-01
1991-10-01,103.3,2021-05-01
1991-11-01,97.2,2021-05-01
1991-12-01,90.8,2021-05-01
1992-01-01,85.3,2021-05-01
1992-02-01,106.2,2021-05-01
1992-03-01,82.4,2021-05-01
1992-04-01,89.6,2021-05-01
1992-05-01,104.4,2021-05-01
1992-06-01,102.2,2021-05-01
1992-07-01,108.2,2021-05-01
1992-08-01,94.6,2021-05-01
1992-09-01,103.9,2021-05-01
1992-10-01,106.5,2021-05-01
1992-11-01,96.6,2021-05-01
1992-12-01,103.7,2021-05-01
1993-01-01,97.8,2021-05-01
1993-02-01,104.3,2021-05-01
1993-03-01,114.8,2021-05-01
1993-04-01,97.4,2021-05-01
1993-05-01,111.2,2021-05-01
1993-06-01,98.3,2021-05-01
1993-07-01,101.8,2021-05-01
1993-08-01,90.8,2021-05-01
1993-09-01,99.4,2021-05-01
1993-10-01,97.6,2021-05-01
1993-11-01,98.6,2021-05-01
1993-12-01,99.1,2021-05-01
1994-01-01,85.6,2021-05-01
1994-02-01,103.8,2021-05-01
1994-03-01,115.2,2021-05-01
1994-04-01,91.7,2021-05-01
1994-05-01,91.3,2021-05-01
1994-06-01,103.3,2021-05-01
1994-07-01,92.7,2021-05-01
1994-08-01,91.2,2021-05-01
1994-09-01,100.6,2021-05-01
1994-10-01,104.4,2021-05-01
1994-11-01,97.4,2021-05-01
1994-12-01,91.5,2021-05-01
1995-01-01,90.7,2021-05-01
1995-02-01,104.6,2021-05-01
1995-03-01,104.4,2021-05-01
1995-04-01,98.6,2021-05-01
1995-05-01,95,2021-05-01
1995-06-01,94.5,2021-05-01
1995-07-01,73.4,2021-05-01
1995-08-01,93.9,2021-05-01
1995-09-01,99,2021-05-01
1995-10-01,110.7,2021-05-01
1995-11-01,96,2021-05-01
1995-12-01,100.1,2021-05-01
1996-01-01,92.9,2021-05-01
1996-02-01,98.4,2021-05-01
1996-03-01,114.4,2021-05-01
1996-04-01,87.4,2021-05-01
1996-05-01,85.4,2021-05-01
1996-06-01,104.3,2021-05-01
1996-07-01,94.5,2021-05-01
1996-08-01,89.3,2021-05-01
1996-09-01,101.7,2021-05-01
1996-10-01,96.4,2021-05-01
1996-11-01,98,2021-05-01
1996-12-01,102.4,2021-05-01
1997-01-01,94.3,2021-05-01
1997-02-01,102.1,2021-05-01
1997-03-01,106.8,2021-05-01
1997-04-01,87.6,2021-05-01
1997-05-01,98.5,2021-05-01
1997-06-01,104.8,2021-05-01
1997-07-01,89.4,2021-05-01
1997-08-01,96.6,2021-05-01
1997-09-01,103.2,2021-05-01
1997-10-01,101.5,2021-05-01
1997-11-01,97.4,2021-05-01
1997-12-01,109,2021-05-01
1998-01-01,92.4,2021-05-01
1998-02-01,101.4,2021-05-01
1998-03-01,104.4,2021-05-01
1998-04-01,100.6,2021-05-01
1998-05-01,98.3,2021-05-01
1998-06-01,101.2,2021-05-01
1998-07-01,92.3,2021-05-01
1998-08-01,99.2,2021-05-01
1998-09-01,109.1,2021-05-01
1998-10-01,105.3,2021-05-01
1998-11-01,99.9,2021-05-01
1998-12-01,96,2021-05-01
1999-01-01,103.2,2021-05-01
1999-02-01,103.6,2021-05-01
1999-03-01,101.6,2021-05-01
1999-04-01,96,2021-05-01
1999-05-01,103.9,2021-05-01
1999-06-01,98.9,2021-05-01
1999-07-01,104.8,2021-05-01
1999-08-01,81.8,2021-05-01
1999-09-01,101.1,2021-05-01
1999-10-01,107.2,2021-05-01
1999-11-01,99.4,2021-05-01
1999-12-01,91.7,2021-05-01
2000-01-01,105.3,2021-05-01
2000-02-01,106.5,2021-05-01
2000-03-01,94.5,2021-05-01
2000-04-01,96.3,2021-05-01
2000-05-01,103,2021-05-01
2000-06-01,91.6,2021-05-01
2000-07-01,96.3,2021-05-01
2000-08-01,85.5,2021-05-01
2000-09-01,101.9,2021-05-01
2000-10-01,101.6,2021-05-01
2000-11-01,102,2021-05-01
2000-12-01,95.1,2021-05-01
2001-01-01,114.2,2021-05-01
2001-02-01,103.4,2021-05-01
2001-03-01,102.9,2021-05-01
2001-04-01,110.9,2021-05-01
2001-05-01,100.4,2021-05-01
2001-06-01,103,2021-05-01
2001-07-01,108.6,2021-05-01
2001-08-01,88.2,2021-05-01
2001-09-01,106.3,2021-05-01
2001-10-01,99.8,2021-05-01
2001-11-01,100.3,2021-05-01
2001-12-01,100.2,2021-05-01
2002-01-01,100.5,2021-05-01
2002-02-01,100.2,2021-05-01
2002-03-01,104.4,2021-05-01
2002-04-01,96.1,2021-05-01
2002-05-01,95,2021-05-01
2002-06-01,93.5,2021-05-01
2002-07-01,74.9,2021-05-01
2002-08-01,88.5,2021-05-01
2002-09-01,100.5,2021-05-01
2002-10-01,101.8,2021-05-01
2002-11-01,98.6,2021-05-01
2002-12-01,95,2021-05-01
2003-01-01,94.1,2021-05-01
2003-02-01,99.4,2021-05-01
2003-03-01,108.8,2021-05-01
2003-04-01,96,2021-05-01
2003-05-01,97.6,2021-05-01
2003-06-01,109.5,2021-05-01
2003-07-01,86.8,2021-05-01
2003-08-01,92.5,2021-05-01
2003-09-01,95.2,2021-05-01
2003-10-01,97.4,2021-05-01
2003-11-01,96.2,2021-05-01
2003-12-01,97.9,2021-05-01
2004-01-01,98.6,2021-05-01
2004-02-01,94.8,2021-05-01
2004-03-01,122.4,2021-05-01
2004-04-01,96.3,2021-05-01
2004-05-01,105.6,2021-05-01
2004-06-01,98.3,2021-05-01
2004-07-01,91.3,2021-05-01
2004-08-01,96.2,2021-05-01
2004-09-01,102.9,2021-05-01
2004-10-01,98.9,2021-05-01
2004-11-01,101,2021-05-01
2004-12-01,97.8,2021-05-01
2005-01-01,92.8,2021-05-01
2005-02-01,99.3,2021-05-01
2005-03-01,99.1,2021-05-01
2005-04-01,96.9,2021-05-01
2005-05-01,96.4,2021-05-01
2005-06-01,121.3,2021-05-01
2005-07-01,92,2021-05-01
2005-08-01,107.8,2021-05-01
2005-09-01,104.4,2021-05-01
2005-10-01,111,2021-05-01
2005-11-01,103.6,2021-05-01
2005-12-01,95.5,2021-05-01
2006-01-01,94.9,2021-05-01
2006-02-01,92.9,2021-05-01
2006-03-01,97.9,2021-05-01
2006-04-01,99.7,2021-05-01
2006-05-01,99.9,2021-05-01
2006-06-01,100.8,2021-05-01
2006-07-01,98.4,2021-05-01
2006-08-01,99.1,2021-05-01
2006-09-01,107.7,2021-05-01
2006-10-01,106.4,2021-05-01
2006-11-01,101.6,2021-05-01
2006-12-01,96.9,2021-05-01
2007-01-01,104.8,2021-05-01
2007-02-01,101.6,2021-05-01
2007-03-01,101.1,2021-05-01
2007-04-01,101.7,2021-05-01
2007-05-01,99.2,2021-05-01
2007-06-01,110.6,2021-05-01
2007-07-01,115.8,2021-05-01
2007-08-01,98,2021-05-01
2007-09-01,109.7,2021-05-01
2007-10-01,103.6,2021-05-01
2007-11-01,107.1,2021-05-01
2007-12-01,95.7,2021-05-01
2008-01-01,100.4,2021-05-01
2008-02-01,107.6,2021-05-01
2008-03-01,92.6,2021-05-01
2008-04-01,100.1,2021-05-01
2008-05-01,97.7,2021-05-01
2008-06-01,106.2,2021-05-01
2008-07-01,106.3,2021-05-01
2008-08-01,104.8,2021-05-01
2008-09-01,106,2021-05-01
2008-10-01,107.9,2021-05-01
2008-11-01,104,2021-05-01
2008-12-01,90.5,2021-05-01
2009-01-01,91.9,2021-05-01
2009-02-01,100.1,2021-05-01
2009-03-01,93.8,2021-05-01
2009-04-01,101.5,2021-05-01
2009-05-01,102.5,2021-05-01
2009-06-01,95,2021-05-01
2009-07-01,98.1,2021-05-01
2009-08-01,93.3,2021-05-01
2009-09-01,97.2,2021-05-01
2009-10-01,100.6,2021-05-01
2009-11-01,103.9,2021-05-01
2009-12-01,95.7,2021-05-01
2010-01-01,106.7,2021-05-01
2010-02-01,101.2,2021-05-01
2010-03-01,86,2021-05-01
2010-04-01,105.6,2021-05-01
2010-05-01,121.7,2021-05-01
2010-06-01,103.3,2021-05-01
2010-07-01,129.7,2021-05-01
2010-08-01,93.6,2021-05-01
2010-09-01,100.7,2021-05-01
2010-10-01,95.7,2021-05-01
2010-11-01,108.2,2021-05-01
2010-12-01,103.3,2021-05-01
2011-01-01,99.1,2021-05-01
2011-02-01,108,2021-05-01
2011-03-01,97,2021-05-01
2011-04-01,108.6,2021-05-01
2011-05-01,111.8,2021-05-01
2011-06-01,105,2021-05-01
2011-07-01,112.8,2021-05-01
2011-08-01,108,2021-05-01
2011-09-01,105.4,2021-05-01
2011-10-01,88.9,2021-05-01
2011-11-01,108.4,2021-05-01
2011-12-01,100.4,2021-05-01
2012-01-01,95.6,2021-05-01
2012-02-01,101,2021-05-01
2012-03-01,100.3,2021-05-01
2012-04-01,106.8,2021-05-01
2012-05-01,102.6,2021-05-01
2012-06-01,109.9,2021-05-01
2012-07-01,99.7,2021-05-01
2012-08-01,101.2,2021-05-01
2012-09-01,110.1,2021-05-01
2012-10-01,93,2021-05-01
2012-11-01,107.1,2021-05-01
2012-12-01,97.5,2021-05-01
2013-01-01,99.2,2021-05-01
2013-02-01,105.5,2021-05-01
2013-03-01,105,2021-05-01
2013-04-01,88.8,2021-05-01
2013-05-01,101.1,2021-05-01
2013-06-01,102.7,2021-05-01
2013-07-01,120.5,2021-05-01
2013-08-01,104.2,2021-05-01
2013-09-01,100.3,2021-05-01
2013-10-01,105.5,2021-05-01
2013-11-01,109,2021-05-01
2013-12-01,100.9,2021-05-01
2014-01-01,104.3,2021-05-01
2014-02-01,114.9,2021-05-01
2014-03-01,94.8,2021-05-01
2014-04-01,117.2,2021-05-01
2014-05-01,110,2021-05-01
2014-06-01,112.7,2021-05-01
2014-07-01,134.7,2021-05-01
2014-08-01,101.4,2021-05-01
2014-09-01,131.3,2021-05-01
2014-10-01,101.6,2021-05-01
2014-11-01,110.3,2021-05-01
2014-12-01,107.6,2021-05-01
2015-01-01,115.1,2021-05-01
2015-02-01,105.7,2021-05-01
2015-03-01,106.1,2021-05-01
2015-04-01,93.9,2021-05-01
2015-05-01,113.1,2021-05-01
2015-06-01,96.8,2021-05-01
2015-07-01,125.2,2021-05-01
2015-08-01,108.6,2021-05-01
2015-09-01,115.6,2021-05-01
2015-10-01,109.1,2021-05-01
2015-11-01,106.7,2021-05-01
2015-12-01,101.3,2021-05-01
2016-01-01,93.2,2021-05-01
2016-02-01,108.5,2021-05-01
2016-03-01,100.1,2021-05-01
2016-04-01,98.7,2021-05-01
2016-05-01,99.6,2021-05-01
2016-06-01,108.5,2021-05-01
2016-07-01,102.9,2021-05-01
2016-08-01,113.1,2021-05-01
2016-09-01,109.1,2021-05-01
2016-10-01,102.7,2021-05-01
2016-11-01,104.6,2021-05-01
2016-12-01,91.6,2021-05-01
2017-01-01,92.5,2021-05-01
2017-02-01,104.8,2021-05-01
2017-03-01,103.2,2021-05-01
2017-04-01,118.4,2021-05-01
2017-05-01,101.8,2021-05-01
2017-06-01,86.4,2021-05-01
2017-07-01,119,2021-05-01
2017-08-01,107.4,2021-05-01
2017-09-01,107,2021-05-01
2017-10-01,104.4,2021-05-01
2017-11-01,104.5,2021-05-01
2017-12-01,93.1,2021-05-01
2018-01-01,96.1,2021-05-01
2018-02-01,110.1,2021-05-01
2018-03-01,101.2,2021-05-01
2018-04-01,103.3,2021-05-01
2018-05-01,105.9,2021-05-01
2018-06-01,99.2,2021-05-01
2018-07-01,120.3,2021-05-01
2018-08-01,108.8,2021-05-01
2018-09-01,82.7,2021-05-01
2018-10-01,106,2021-05-01
2018-11-01,104.8,2021-05-01
2018-12-01,94.9,2021-05-01
2019-01-01,97.1,2021-05-01
2019-02-01,101.9,2021-05-01
2019-03-01,108.1,2021-05-01
2019-04-01,96.1,2021-05-01
2019-05-01,77.3,2021-05-01
2019-06-01,109.3,2021-05-01
2019-07-01,120.3,2021-05-01
