date,ind_prod_perc_prev_month,access_date,ind_prod_perc_corresp_month
2015-01-01,82.6,2021-07-30,101.3
2015-02-01,97.2,2021-07-30,99.8
2015-03-01,110.9,2021-07-30,101.9
2015-04-01,95.3,2021-07-30,99.4
2015-05-01,98.9,2021-07-30,99
2015-06-01,101.6,2021-07-30,100.1
2015-07-01,101.3,2021-07-30,100.2
2015-08-01,100.5,2021-07-30,100.7
2015-09-01,101,2021-07-30,100.5
2015-10-01,105.2,2021-07-30,100.2
2015-11-01,99.5,2021-07-30,100.8
2015-12-01,107.9,2021-07-30,99
2016-01-01,82.7,2021-07-30,99.1
2016-02-01,100.1,2021-07-30,102
2016-03-01,109.7,2021-07-30,100.9
2016-04-01,94.3,2021-07-30,99.8
2016-05-01,99.5,2021-07-30,100.4
2016-06-01,102.3,2021-07-30,101.1
2016-07-01,100.5,2021-07-30,100.4
2016-08-01,102.3,2021-07-30,102.2
2016-09-01,101.3,2021-07-30,102.5
2016-10-01,105.8,2021-07-30,103
2016-11-01,101.6,2021-07-30,105.2
2016-12-01,106.6,2021-07-30,103.9
2017-01-01,84.9,2021-07-30,106.6
2017-02-01,95.4,2021-07-30,101.6
2017-03-01,111.8,2021-07-30,103.6
2017-04-01,95,2021-07-30,104.3
2017-05-01,101.3,2021-07-30,106.3
2017-06-01,101.5,2021-07-30,105.5
2017-07-01,99.6,2021-07-30,104.6
2017-08-01,102.9,2021-07-30,105.1
2017-09-01,100.2,2021-07-30,104
2017-10-01,104,2021-07-30,102.3
2017-11-01,100.4,2021-07-30,101.1
2017-12-01,105.7,2021-07-30,100.3
2018-01-01,86.9,2021-07-30,102.7
2018-02-01,95.8,2021-07-30,103.2
2018-03-01,111.4,2021-07-30,102.7
2018-04-01,95.4,2021-07-30,103.2
2018-05-01,101.6,2021-07-30,103.5
2018-06-01,100.2,2021-07-30,102.1
2018-07-01,101,2021-07-30,103.5
2018-08-01,102.1,2021-07-30,102.8
2018-09-01,99.8,2021-07-30,102.3
2018-10-01,107,2021-07-30,105.3
2018-11-01,99.6,2021-07-30,104.4
2018-12-01,107.8,2021-07-30,106.4
2019-01-01,83.8,2021-07-30,102.7
2019-02-01,97.2,2021-07-30,104.2
2019-03-01,109.9,2021-07-30,102.7
2019-04-01,97.7,2021-07-30,105.2
2019-05-01,97.6,2021-07-30,101
2019-06-01,102.3,2021-07-30,103.2
2019-07-01,102.1,2021-07-30,104.3
2019-08-01,101.7,2021-07-30,103.9
2019-09-01,100.9,2021-07-30,105
2019-10-01,106.3,2021-07-30,104.4
2019-11-01,96.8,2021-07-30,101.5
2019-12-01,109,2021-07-30,102.6
2020-01-01,82.6,2021-07-30,101.2
2020-02-01,100.4,2021-07-30,104.6
2020-03-01,107.4,2021-07-30,102.2
2020-04-01,91.1,2021-07-30,95.3
2020-05-01,94.2,2021-07-30,92
2020-06-01,103.1,2021-07-30,92.7
2020-07-01,103.5,2021-07-30,93.9
2020-08-01,103.5,2021-07-30,95.5
2020-09-01,101.3,2021-07-30,96
2020-10-01,104.4,2021-07-30,94.3
2020-11-01,101.1,2021-07-30,98.5
2020-12-01,113,2021-07-30,102.1
2021-01-01,79.4,2021-07-30,98.1
2021-02-01,99.1,2021-07-30,96.8
2021-03-01,113.5,2021-07-30,102.3
2021-04-01,95.9,2021-07-30,107.6
2021-05-01,98.3,2021-07-30,112.3
2021-06-01,101.3,2021-07-30,110.4
