Date,Exchange rate ,"Consumer Prices, All items","GDP, real, SA",Money Market Interest rate (=Effective federal funds rate)
1994 Q1,,,,
1994 Q2,,,,
1994 Q3,,,,
1994 Q4,,,,
1995 Q1,,,,
1995 Q2,,,,
1995 Q3,,,,
1995 Q4,,,,
1996 Q1,,,,
1996 Q2,,,,
1996 Q3,,,,
1996 Q4,,,,
1997 Q1,,,,
1997 Q2,,,,
1997 Q3,,,,
1997 Q4,,,,
1998 Q1,,,,
1998 Q2,,,,
1998 Q3,,,,
1998 Q4,,,,
1998Q1,6.04,74.25,,5.52
1998Q2,6.15,74.64,,5.5
1998Q3,9.16,74.94,,5.53333333333333
1998Q4,17.46,75.19,,4.86
1999 Q1,22.89,75.49,80.25,4.73333333333333
1999 Q2,24.49,76.22,80.92,4.74666666666667
1999 Q3,24.82,76.69,81.93,5.09333333333333
1999 Q4,26.27,77.17,83.36,5.30666666666667
2000 Q1,28.46,77.93,83.6,5.67666666666667
2000 Q2,28.38,78.76,85.18,6.27333333333333
2000 Q3,27.79,79.38,85.28,6.52
2000 Q4,27.88,79.81,85.76,6.47333333333333
2001 Q1,28.54,80.58,85.52,5.59333333333333
2001 Q2,28.99,81.42,85.97,4.32666666666667
2001 Q3,29.33,81.52,85.7,3.49666666666667
2001 Q4,29.81,81.29,85.94,2.13333333333333
2002 Q1,30.78,81.58,86.73,1.73333333333333
2002 Q2,31.27,82.47,87.21,1.75
2002 Q3,31.57,82.82,87.64,1.74
2002 Q4,31.78,83.08,87.69,1.44333333333333
2003 Q1,31.66,83.92,88.15,1.25
2003 Q2,30.87,84.23,88.96,1.24666666666667
2003 Q3,30.43,84.64,90.45,1.01666666666667
2003 Q4,29.81,84.66,91.51,0.996666666666667
2004 Q1,28.66,85.42,92.04,1.00333333333333
2004 Q2,28.9,86.64,92.71,1.01
2004 Q3,29.17,86.95,93.55,1.43333333333333
2004 Q4,28.53,87.47,94.36,1.95
2005 Q1,27.84,88.02,95.37,2.47
2005 Q2,28.08,89.2,95.87,2.94333333333333
2005 Q3,28.51,90.28,96.67,3.46
2005 Q4,28.7,90.74,97.22,3.98
2006 Q1,28.16,91.23,98.39,4.45666666666667
2006 Q2,27.2,92.77,98.69,4.90666666666667
2006 Q3,26.81,93.29,98.77,5.24666666666667
2006 Q4,26.59,92.5,99.55,5.24666666666667
2007 Q1,26.31,93.44,99.61,5.25666666666667
2007 Q2,25.86,95.23,100.37,5.25
2007 Q3,25.51,95.5,101.05,5.07333333333333
2007 Q4,24.64,96.18,101.41,4.49666666666667
2008 Q1,24.27,97.27,100.71,3.17666666666667
2008 Q2,23.63,99.4,101.21,2.08666666666667
2008 Q3,24.26,100.56,100.73,1.94
2008 Q4,27.26,97.72,98.6,0.506666666666667
2009 Q1,33.97,97.23,97.23,0.183333333333333
2009 Q2,32.21,98.26,97.1,0.18
2009 Q3,31.32,98.93,97.42,0.156666666666667
2009 Q4,29.46,99.13,98.36,0.12
2010 Q1,29.9,99.52,98.79,0.133333333333333
2010 Q2,30.24,100,99.74,0.193333333333333
2010 Q3,30.62,100.09,100.42,0.186666666666667
2010 Q4,30.71,100.39,101.05,0.186666666666667
2011 Q1,29.27,101.66,100.66,0.156666666666667
2011 Q2,27.99,103.43,101.39,0.0933333333333333
2011 Q3,29.05,103.85,101.61,0.0833333333333333
2011 Q4,31.22,103.69,102.75,0.0733333333333333
2012 Q1,30.26,104.52,103.43,0.103333333333333
2012 Q2,30,105.38,103.91,0.153333333333333
2012 Q3,32.02,105.61,104.04,0.143333333333333
2012 Q4,31.08,105.65,104.06,0.16
2013 Q1,30.41,106.28,104.55,0.143333333333333
2013 Q2,31.62,106.85,104.85,0.116666666666667
2013 Q3,32.79,107.25,105.62,0.0833333333333333
2013 Q4,32.53,106.96,106.61,0.0866666666666667
2014 Q1,34.96,107.77,106.37,0.0733333333333333
2014 Q2,35,109.04,107.56,0.0933333333333333
2014 Q3,36.2,109.17,108.69,0.09
2014 Q4,47.35,108.29,109.25,0.1
2015 Q1,62.19,107.7,109.43,0.11
2015 Q2,52.65,109,110.48,0.123333333333333
2015 Q3,63,109.29,111.03,0.131666666666667
2015 Q4,65.92,108.79,111.41,0.161666666666667
2016 Q1,74.65,108.87,111.71,0.36
2016 Q2,65.88,110.14,,0.373333333333333
2016 Q3,64.62,110.51,,0.396666666666667
2016 Q4,63.08,110.75,,0.45
2017 Q1,58.82,111.63,,0.7
2017 Q2,57.14,112.24,,0.9
2017 Q3,59,112.68,,
2017 Q4,58.41,113.1,,
2018 Q1,56.88,114.1,,
2018 Q2,61.78,115.28,,
2018 Q3,,,,
